No,NIM,Pilihan 1,Pilihan 2,Peminatan,MP1,MP2,MP3
1123,1202164039,EIM,EDM,EIM,3,5,0,0
1124,1202164040,EA,EAD,EAA,3,5,0,0
1125,1202164049,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1126,1202164056,EA,EDM,EDM,0,0,0
1127,1202164058,TECHNO,EIM,TECHNO,4,0,0
1128,1202164064,EA,EDM,EDM,0,0,0
1129,1202164065,ERP,EDM,ERP,3,5,0,0
1130,1202164068,ISM,EDM,ISM,0,3,5,0
1131,1202164069,EAD,ERP,EAD,0,0,2
1132,1202164071,ISM,EAD,ISM,4,0,0
1133,1202164072,EDM,ISM,EDM,3,5,0,0
1134,1202164073,ISM,EDM,ISM,0,4,0
1135,1202164075,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1136,1202164077,EDM,ERP,EDM,3,5,0,0
1137,1202164078,ISM,EDM,ISM,0,3,5,0
1138,1202164079,ERP,ERP,ERP,0,0,0
1139,1202164081,EA,EDM,EAA,4,0,0
1140,1202164085,TECHNO,EIM,TECHNO,4,0,0
1141,1202164087,EIM,EDM,EIM,4,0,0
1142,1202164090,EA,EAD,EAD,0,0,0
1143,1202164091,ISM,EAD,ISM,0,0,0
1144,1202164092,EIM,TECHNO,EIM,3,5,0,0
1145,1202164094,ISM,EDM,ISM,0,3,5,0
1146,1202164100,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1147,1202164102,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1148,1202164106,EDM,EA,EDM,3,5,0,0
1149,1202164108,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1150,1202164109,ERP,EAD,ERP,3,5,0,0
1151,1202164113,EA,TECHNO,EAA,4,0,0
1152,1202164114,EA,EAD,EAA,4,0,0
1153,1202164116,ISM,EDM,ISM,0,4,0
1154,1202164121,EIM,TECHNO,EIM,4,0,0
1155,1202164122,EDM,ERP,EDM,3,5,0,0
1156,1202164123,EA,TECHNO,EAA,4,0,0
1157,1202164125,ERP,EDM,ERP,0,0,0
1158,1202164128,EA,EDM,EDM,0,0,0
1159,1202164129,EDM,EIM,EDM,3,5,0,0
1160,1202164131,EA,TECHNO,EAA,3,5,0,0
1161,1202164136,TECHNO,ERP,TECHNO,4,0,0
1162,1202164139,ISM,TECHNO,ISM,0,4,0
1163,1202164140,EDM,EDM,EDM,3,5,0,0
1164,1202164142,EDM,ISM,EDM,3,5,0,0
1165,1202164143,ISM,EAD,ISM,0,4,0
1166,1202164146,TECHNO,EIM,TECHNO,4,0,0
1167,1202164147,ISM,EAD,ISM,0,3,5,0
1168,1202164149,EA,EDM,EAA,3,5,0,0
1169,1202164150,EDM,EIM,EDM,3,5,0,0
1170,1202164152,EIM,EDM,EDM,0,0,0
1171,1202164156,EDM,EIM,EDM,3,5,0,0
1172,1202164157,EDM,ISM,EDM,3,5,0,0
