No,NIM,OOP,RPB,RPL,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,KSI,Pilihan 1,Peminatan,MP1,MP2,MP3,Status,Tanggal Lulus,Keterangan
104,1202150110,3.5,3.5,4,4,3.5,4,4,4,3.5,3.5,4,4,3.5,4,3.5,3.5,4,4,4,4,EA,EA,4,4,4,GRADUATED,28/06/19,TEPAT WAKTU
105,1202150111,3.5,2,3,3,3.5,2,3,3,2.5,4,3.5,4,3.5,2.5,3,4,3.5,3.5,4,3.5,EIM,EIM,3.5,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
106,1202150112,3.5,2,3.5,3,3,3,3.5,3,3.5,2.5,4,4,3.5,3,3,3.5,3.5,3.5,3.5,3.5,EIM,EIM,3.5,4,3.5,GRADUATED,10/07/19,TEPAT WAKTU
107,1202150236,2.5,3.5,3.5,3.5,4,3,3.5,3,3.5,3.5,3,4,4,3.5,3.5,2,3.5,3.5,4,4,ERP,ERP,4,3.5,4,GRADUATED,05/07/19,TEPAT WAKTU
108,1202150237,3.5,3.5,3.5,3,4,2,4,4,3.5,3,3.5,4,3.5,3.5,3,2,3.5,3.5,3.5,2.5,EA,EA,4,3,3.5,GRADUATED,16/08/19,TEPAT WAKTU
109,1202150238,3,2.5,3,2,3.5,2.5,3,3,3.5,3.5,3,4,3.5,3.5,3,2,2,3,3.5,3,ERP,ERP,3.5,3,3.5,GRADUATED,30/08/19,TEPAT WAKTU
110,1202150239,3,2.5,3.5,2.5,2.5,2,3.5,2.5,2.5,3.5,2.5,3.5,2.5,2,1,2,2,3,3.5,2.5,EA,EA,3.5,3,3,STUDENT,OUT,TIDAK TEPAT WAKTU
111,1202150240,3.5,2,4,3.5,3.5,3.5,3.5,4,2.5,4,4,4,3.5,4,3.5,2.5,2.5,3,4,2.5,EA,EA,4,3.5,3.5,GRADUATED,16/08/19,TEPAT WAKTU
112,1202150241,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
113,1202150242,2,3,3,4,3,3,2,1,3.5,2,3,4,2,3,3,2,3.5,3,2,2.5,EA,EA,3.5,3.5,3.5,GRADUATED,30/08/19,TEPAT WAKTU
114,1202150243,2.5,3.5,3.5,3.5,4,4,3.5,4,4,3.5,3.5,4,4,4,4,3.5,3.5,3.5,4,3.5,EDM,EDM,4,4,4,GRADUATED,28/06/19,TEPAT WAKTU
115,1202150244,2.5,3,3.5,3,3.5,2,2.5,1,3.5,3.5,2.5,4,4,3.5,3,3,2,3,3.5,3,EAD,EAD,3,3.5,2.5,GRADUATED,30/08/19,TEPAT WAKTU
116,1202150245,3.5,3,4,3.5,3.5,3.5,4,4,3,3.5,3.5,4,4,3.5,3.5,3,4,3,3.5,4,TECHNO,TECHNO,4,4,4,GRADUATED,05/07/19,TEPAT WAKTU
117,1202150246,3.5,3,3.5,3.5,4,3,4,4,3.5,3.5,4,4,4,3.5,3.5,3,4,3.5,3.5,4,ERP,ERP,4,3.5,3.5,GRADUATED,10/07/19,TEPAT WAKTU
118,1202150247,3.5,2,3.5,3,2.5,2,3.5,1,2,2.5,3,3.5,3,2.5,2.5,2,2,2.5,3,2.5,ERP,ERP,3.5,0,2.5,STUDENT,OUT,TIDAK TEPAT WAKTU
119,1202150248,3.5,2,4,3.5,3.5,3.5,4,4,2.5,3.5,4,4,4,3.5,3.5,3.5,3.5,3,3.5,3.5,EIM,EIM,3.5,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
120,1202150249,3.5,3.5,4,4,3.5,3.5,4,4,4,3,4,3.5,3.5,3.5,4,3.5,3.5,3.5,4,4,EDM,EDM,3,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
121,1202150250,3,3.5,4,4,3,2,2.5,2.5,3,3.5,3,4,3.5,3.5,3.5,2,3,3.5,2.5,2,EA,EA,4,3.5,3.5,GRADUATED,05/07/19,TEPAT WAKTU
122,1202150251,2,3,4,3.5,4,2.5,2,1,3.5,3,3.5,4,3,3,3,2,3,3.5,3,3,ERP,ERP,3.5,2,3.5,GRADUATED,10/07/19,TEPAT WAKTU
123,1202150252,2.5,3.5,3.5,3,3.5,2,3,2,3,2.5,2.5,4,4,3,2.5,2,2,3,3.5,3,EDM,EDM,3.5,3.5,3,GRADUATED,30/08/19,TEPAT WAKTU
124,1202150253,3,2.5,4,2.5,4,2,3.5,2,2,3.5,2.5,4,3.5,2.5,2,2,3,2.5,3.5,3,EDM,EDM,3,3.5,3,GRADUATED,30/08/19,TEPAT WAKTU
125,1202150254,3.5,3.5,3,4,4,3.5,4,4,3.5,3.5,3.5,4,4,3.5,3.5,3,3.5,3.5,4,4,ERP,ERP,3.5,3.5,3.5,GRADUATED,10/07/19,TEPAT WAKTU
126,1202150255,3.5,2.5,3,2.5,3,2.5,4,3.5,2.5,4,3.5,4,3,3.5,3,2.5,2,2.5,3.5,3.5,ISM,ISM,4,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
127,1202150256,3.5,2.5,3.5,3.5,3.5,3.5,3.5,3,2.5,3.5,4,4,4,3.5,3.5,2,3,3.5,2.5,3.5,ERP,ERP,4,4,4,GRADUATED,05/07/19,TEPAT WAKTU
